sequence,survived,category
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Dragon -> Fosse -> Orc -> Coffre -> Fosse -> Escalier -> Inscription -> Salle_Vide -> Or -> Salle_Vide -> Gobelin -> Couloir -> Zombie -> Gemmes -> Couloir -> Dragon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Couloir -> Escalier -> Minotaure -> Escalier -> Fontaine_Sacree -> Coffre -> Gemmes -> Demon -> Escalier -> Gobelin -> Fontaine_Sacree -> Gemmes -> Escalier -> Orc -> Potion -> Or -> Escalier -> Potion -> Gobelin -> Or -> Fosse -> Inscription -> Piege_a_Pics -> Zombie -> Piege_a_Pics -> Gaz_Toxique -> Couloir -> Couloir -> Grande_Potion -> Escalier -> Or -> Escalier -> Orc -> Couloir -> Potion -> Rat -> Rat -> Escalier -> Liche -> Sortie,0,synthetic
Entree -> Coffre -> Gemmes -> Inscription -> Potion -> Couloir -> Grande_Potion -> Potion -> Gemmes -> Couloir -> Salle_Vide -> Couloir -> Potion -> Fontaine_Sacree -> Rat -> Couloir -> Salle_Vide -> Fosse -> Piege_a_Pics -> Couloir -> Gemmes -> Rat -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Amulette_Protection -> Epee_Legendaire -> Gemmes -> Gemmes -> Rat -> Coffre -> Grande_Potion -> Couloir -> Or -> Inscription -> Coffre -> Zombie -> Escalier -> Escalier -> Gobelin -> Fontaine_Sacree -> Zombie -> Repas -> Fontaine_Sacree -> Escalier -> Coffre -> Liche -> Potion -> Gemmes -> Orc -> Escalier -> Grande_Potion -> Fosse -> Gaz_Toxique -> Gobelin -> Escalier -> Hydre -> Grande_Potion -> Rat -> Couloir -> Grande_Potion -> Dragon,1,synthetic
Entree -> Epee_Legendaire -> Potion -> Gaz_Toxique -> Hydre -> Coffre -> Or -> Salle_Vide -> Escalier -> Salle_Vide -> Potion -> Orc -> Orc -> Couloir -> Grande_Potion -> Coffre -> Fosse -> Gobelin -> Dragon -> Zombie -> Couloir -> Piege_a_Pics -> Inscription -> Couloir -> Zombie -> Fontaine_Sacree -> Zombie -> Inscription -> Escalier -> Fontaine_Sacree -> Gemmes -> Grande_Potion -> Demon -> Repas -> Or -> Gemmes -> Minotaure -> Fontaine_Sacree -> Sortie,0,synthetic
Entree -> Gaz_Toxique -> Piege_a_Pics -> Gaz_Toxique -> Repas -> Salle_Vide -> Salle_Vide -> Zombie -> Couloir -> Coffre -> Inscription -> Piege_a_Pics -> Escalier -> Gemmes -> Dragon -> Minotaure -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Coffre -> Or -> Escalier -> Couloir -> Troll -> Salle_Vide -> Couloir -> Gemmes -> Rat -> Couloir -> Inscription -> Fosse -> Orc -> Couloir -> Rat -> Couloir -> Gaz_Toxique -> Salle_Vide -> Salle_Vide -> Fontaine_Sacree -> Repas -> Salle_Vide -> Zombie -> Liche -> Orc -> Salle_Vide -> Gobelin -> Orc -> Orc -> Or -> Orc -> Coffre -> Escalier -> Coffre -> Escalier -> Fontaine_Sacree -> Orc -> Couloir -> Sortie,0,synthetic
Entree -> Couloir -> Potion -> Liche -> Escalier -> Demon -> Escalier -> Hydre -> Piege_a_Pics -> Fontaine_Sacree -> Gobelin -> Grande_Potion -> Hydre -> Troll -> Or -> Coffre -> Inscription -> Escalier -> Couloir -> Salle_Vide -> Orc -> Potion -> Orc -> Rat -> Couloir -> Coffre -> Repas -> Gemmes -> Salle_Vide -> Salle_Vide -> Zombie -> Rat -> Salle_Vide -> Dragon -> Salle_Vide -> Rat -> Coffre -> Escalier -> Zombie -> Gobelin -> Escalier -> Liche -> Gemmes -> Couloir -> Couloir -> Gobelin -> Grande_Potion -> Salle_Vide -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Couloir -> Gaz_Toxique -> Piege_a_Pics -> Rat -> Couloir -> Escalier -> Fosse -> Gemmes -> Salle_Vide -> Dragon -> Gaz_Toxique -> Inscription -> Grande_Potion -> Minotaure -> Couloir -> Demon -> Minotaure -> Escalier -> Inscription -> Coffre -> Salle_Vide -> Escalier -> Potion -> Gobelin -> Escalier -> Inscription -> Salle_Vide -> Gobelin -> Salle_Vide -> Or -> Couloir -> Gobelin -> Zombie -> Rat -> Gobelin -> Or -> Or -> Inscription -> Liche -> Fontaine_Sacree -> Salle_Vide -> Inscription -> Or -> Escalier -> Coffre -> Inscription -> Hydre -> Gemmes -> Minotaure -> Salle_Vide -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Inscription -> Fontaine_Sacree -> Escalier -> Orc -> Zombie -> Zombie -> Zombie -> Salle_Vide -> Demon -> Gemmes -> Zombie -> Troll -> Liche -> Inscription -> Salle_Vide -> Couloir -> Piege_a_Pics -> Coffre -> Minotaure -> Demon -> Couloir -> Gemmes -> Or -> Repas -> Gemmes -> Couloir -> Couloir -> Troll -> Fosse -> Escalier -> Escalier -> Demon -> Repas -> Rat -> Gaz_Toxique -> Rat -> Escalier -> Zombie -> Inscription -> Couloir -> Couloir -> Zombie -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Piege_a_Pics -> Fontaine_Sacree -> Fontaine_Sacree -> Gemmes -> Gemmes -> Inscription -> Gobelin -> Hydre -> Orc -> Demon -> Inscription -> Piege_a_Pics -> Salle_Vide -> Gobelin -> Liche -> Couloir -> Inscription -> Liche -> Zombie -> Salle_Vide -> Or -> Coffre -> Piege_a_Pics -> Troll -> Gaz_Toxique -> Inscription -> Gemmes -> Orc -> Salle_Vide -> Or -> Piege_a_Pics -> Grande_Potion -> Zombie -> Coffre -> Potion -> Escalier -> Piege_a_Pics -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Inscription -> Piege_a_Pics -> Escalier -> Potion -> Couloir -> Fosse -> Rat -> Or -> Minotaure -> Salle_Vide -> Minotaure -> Minotaure -> Hydre -> Coffre -> Inscription -> Couloir -> Rat -> Rat -> Coffre -> Or -> Couloir -> Inscription -> Inscription -> Rat -> Escalier -> Coffre -> Salle_Vide -> Couloir -> Couloir -> Potion -> Liche -> Couloir -> Dragon -> Escalier -> Couloir -> Liche -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Couloir -> Salle_Vide -> Zombie -> Zombie -> Repas -> Repas -> Demon -> Gemmes -> Salle_Vide -> Rat -> Inscription -> Gaz_Toxique -> Or -> Zombie -> Rat -> Inscription -> Inscription -> Piege_a_Pics -> Dragon -> Or -> Coffre -> Inscription -> Grande_Potion -> Rat -> Minotaure -> Troll -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Escalier -> Inscription -> Escalier -> Gemmes -> Couloir -> Potion -> Inscription -> Inscription -> Liche -> Fosse -> Fontaine_Sacree -> Gemmes -> Or -> Repas -> Gobelin -> Repas -> Inscription -> Fosse -> Salle_Vide -> Escalier -> Gemmes -> Orc -> Fosse -> Zombie -> Coffre -> Gobelin -> Potion -> Escalier -> Fontaine_Sacree -> Salle_Vide -> Couloir -> Gobelin -> Rat -> Zombie -> Or -> Fontaine_Sacree -> Couloir -> Potion -> Escalier -> Coffre -> Repas -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Inscription -> Couloir -> Inscription -> Zombie -> Salle_Vide -> Couloir -> Zombie -> Inscription -> Couloir -> Salle_Vide -> Troll -> Fontaine_Sacree -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Gemmes -> Gobelin -> Or -> Escalier -> Or -> Coffre -> Coffre -> Liche -> Gobelin -> Orc -> Couloir -> Gaz_Toxique -> Dragon -> Rat -> Gemmes -> Demon -> Zombie -> Zombie -> Grande_Potion -> Gobelin -> Inscription -> Salle_Vide -> Gemmes -> Coffre -> Fontaine_Sacree -> Gemmes -> Gaz_Toxique -> Gaz_Toxique -> Salle_Vide -> Orc -> Zombie -> Couloir -> Gobelin -> Grande_Potion -> Salle_Vide -> Salle_Vide -> Grande_Potion -> Gemmes -> Piege_a_Pics -> Couloir -> Demon -> Sortie,0,synthetic
Entree -> Coffre -> Gemmes -> Escalier -> Orc -> Gemmes -> Zombie -> Salle_Vide -> Zombie -> Inscription -> Couloir -> Coffre -> Gobelin -> Repas -> Coffre -> Repas -> Demon -> Inscription -> Liche -> Inscription -> Piege_a_Pics -> Rat -> Or -> Potion -> Gobelin -> Zombie -> Escalier -> Fosse -> Escalier -> Couloir -> Piege_a_Pics -> Fosse -> Couloir -> Or -> Or -> Gaz_Toxique -> Troll -> Gemmes -> Potion -> Dragon -> Sortie,0,synthetic
Entree -> Gemmes -> Escalier -> Inscription -> Inscription -> Inscription -> Hydre -> Inscription -> Inscription -> Inscription -> Grande_Potion -> Rat -> Coffre -> Couloir -> Escalier -> Fontaine_Sacree -> Salle_Vide -> Orc -> Grande_Potion -> Salle_Vide -> Grande_Potion -> Coffre -> Salle_Vide -> Or -> Demon -> Gobelin -> Orc -> Inscription -> Salle_Vide -> Orc -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Couloir -> Coffre -> Gemmes -> Gemmes -> Demon -> Gemmes -> Gaz_Toxique -> Piege_a_Pics -> Rat -> Repas -> Couloir -> Coffre -> Gobelin -> Demon -> Escalier -> Salle_Vide -> Coffre -> Fosse -> Inscription -> Coffre -> Rat -> Gobelin -> Rat -> Inscription -> Escalier -> Repas -> Minotaure -> Dragon -> Sortie,0,synthetic
Entree -> Gaz_Toxique -> Inscription -> Gobelin -> Orc -> Salle_Vide -> Couloir -> Escalier -> Inscription -> Grande_Potion -> Salle_Vide -> Zombie -> Fontaine_Sacree -> Gemmes -> Potion -> Hydre -> Gobelin -> Escalier -> Salle_Vide -> Or -> Gaz_Toxique -> Rat -> Liche -> Dragon -> Sortie,0,synthetic
Entree -> Or -> Potion -> Piege_a_Pics -> Piege_a_Pics -> Gobelin -> Gaz_Toxique -> Escalier -> Coffre -> Or -> Couloir -> Gemmes -> Salle_Vide -> Couloir -> Couloir -> Grande_Potion -> Fosse -> Dragon -> Fosse -> Potion -> Orc -> Orc -> Or -> Coffre -> Zombie -> Gobelin -> Zombie -> Coffre -> Grande_Potion -> Couloir -> Potion -> Or -> Gobelin -> Coffre -> Coffre -> Coffre -> Rat -> Coffre -> Liche -> Zombie -> Escalier -> Fontaine_Sacree -> Coffre -> Orc -> Inscription -> Repas -> Rat -> Or -> Couloir -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Hydre -> Zombie -> Hydre -> Inscription -> Zombie -> Troll -> Fosse -> Couloir -> Salle_Vide -> Couloir -> Demon -> Piege_a_Pics -> Escalier -> Inscription -> Salle_Vide -> Salle_Vide -> Or -> Potion -> Hydre -> Gobelin -> Sortie,0,synthetic
Entree -> Gemmes -> Coffre -> Inscription -> Zombie -> Repas -> Salle_Vide -> Fosse -> Zombie -> Rat -> Minotaure -> Potion -> Escalier -> Gobelin -> Gobelin -> Dragon -> Or -> Escalier -> Orc -> Couloir -> Salle_Vide -> Escalier -> Zombie -> Or -> Salle_Vide -> Zombie -> Gemmes -> Coffre -> Liche -> Gemmes -> Sortie,0,synthetic
Entree -> Fontaine_Sacree -> Couloir -> Couloir -> Escalier -> Rat -> Piege_a_Pics -> Salle_Vide -> Fontaine_Sacree -> Couloir -> Inscription -> Inscription -> Or -> Gemmes -> Escalier -> Couloir -> Escalier -> Orc -> Coffre -> Gemmes -> Orc -> Troll -> Dragon -> Sortie,0,synthetic
Entree -> Gobelin -> Piege_a_Pics -> Repas -> Gemmes -> Gobelin -> Inscription -> Orc -> Zombie -> Orc -> Potion -> Piege_a_Pics -> Zombie -> Couloir -> Orc -> Escalier -> Dragon -> Sortie,0,synthetic
Entree -> Gobelin -> Rat -> Repas -> Zombie -> Dragon -> Couloir -> Demon -> Escalier -> Gemmes -> Inscription -> Gemmes -> Rat -> Coffre -> Fontaine_Sacree -> Coffre -> Minotaure -> Dragon -> Or -> Gobelin -> Inscription -> Dragon -> Sortie,0,synthetic
Entree -> Inscription -> Troll -> Gaz_Toxique -> Coffre -> Orc -> Troll -> Fontaine_Sacree -> Salle_Vide -> Inscription -> Couloir -> Dragon -> Escalier -> Couloir -> Potion -> Minotaure -> Escalier -> Gobelin -> Gaz_Toxique -> Gemmes -> Gaz_Toxique -> Gemmes -> Or -> Liche -> Fontaine_Sacree -> Rat -> Salle_Vide -> Potion -> Or -> Couloir -> Salle_Vide -> Salle_Vide -> Gobelin -> Fosse -> Inscription -> Potion -> Couloir -> Coffre -> Sortie,0,synthetic
Entree -> Troll -> Escalier -> Potion -> Piege_a_Pics -> Gaz_Toxique -> Rat -> Rat -> Piege_a_Pics -> Zombie -> Repas -> Gemmes -> Couloir -> Escalier -> Piege_a_Pics -> Fosse -> Coffre -> Gemmes -> Or -> Escalier -> Potion -> Zombie -> Escalier -> Escalier -> Gemmes -> Hydre -> Troll -> Zombie -> Fosse -> Gemmes -> Salle_Vide -> Orc -> Dragon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Or -> Coffre -> Grande_Potion -> Or -> Coffre -> Escalier -> Piege_a_Pics -> Salle_Vide -> Troll -> Fosse -> Inscription -> Or -> Fontaine_Sacree -> Troll -> Sortie,0,synthetic
Entree -> Gemmes -> Coffre -> Escalier -> Zombie -> Fosse -> Couloir -> Couloir -> Coffre -> Orc -> Zombie -> Zombie -> Escalier -> Piege_a_Pics -> Or -> Fosse -> Piege_a_Pics -> Hydre -> Grande_Potion -> Zombie -> Couloir -> Rat -> Inscription -> Rat -> Minotaure -> Salle_Vide -> Escalier -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Orc -> Orc -> Escalier -> Hydre -> Or -> Rat -> Or -> Couloir -> Gobelin -> Couloir -> Or -> Gaz_Toxique -> Inscription -> Rat -> Inscription -> Zombie -> Troll -> Coffre -> Escalier -> Or -> Couloir -> Gobelin -> Couloir -> Escalier -> Escalier -> Dragon -> Salle_Vide -> Or -> Gobelin -> Or -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Troll -> Escalier -> Rat -> Escalier -> Gobelin -> Salle_Vide -> Gobelin -> Fosse -> Or -> Troll -> Zombie -> Gaz_Toxique -> Gaz_Toxique -> Potion -> Fosse -> Gobelin -> Rat -> Or -> Orc -> Fontaine_Sacree -> Couloir -> Gaz_Toxique -> Potion -> Gobelin -> Coffre -> Hydre -> Fosse -> Grande_Potion -> Or -> Repas -> Or -> Piege_a_Pics -> Demon -> Inscription -> Gobelin -> Couloir -> Or -> Gemmes -> Hydre -> Fosse -> Rat -> Gemmes -> Coffre -> Liche -> Sortie,0,synthetic
Entree -> Salle_Vide -> Escalier -> Zombie -> Salle_Vide -> Piege_a_Pics -> Fosse -> Couloir -> Inscription -> Dragon -> Inscription -> Escalier -> Or -> Couloir -> Or -> Gaz_Toxique -> Gemmes -> Gobelin -> Couloir -> Orc -> Or -> Demon -> Rat -> Coffre -> Troll -> Piege_a_Pics -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Zombie -> Inscription -> Escalier -> Orc -> Orc -> Orc -> Orc -> Liche -> Inscription -> Inscription -> Orc -> Inscription -> Troll -> Gemmes -> Fosse -> Minotaure -> Or -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Amulette_Protection -> Epee_Legendaire -> Rat -> Couloir -> Couloir -> Fosse -> Gaz_Toxique -> Gemmes -> Inscription -> Couloir -> Coffre -> Or -> Inscription -> Salle_Vide -> Coffre -> Couloir -> Zombie -> Rat -> Couloir -> Escalier -> Or -> Gemmes -> Or -> Couloir -> Couloir -> Fosse -> Grande_Potion -> Orc -> Dragon,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Gemmes -> Inscription -> Couloir -> Minotaure -> Couloir -> Coffre -> Demon -> Gemmes -> Zombie -> Inscription -> Gemmes -> Or -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Coffre -> Inscription -> Couloir -> Gemmes -> Couloir -> Coffre -> Inscription -> Couloir -> Grande_Potion -> Or -> Dragon -> Gemmes -> Gemmes -> Inscription -> Escalier -> Minotaure -> Gaz_Toxique -> Coffre -> Liche -> Orc -> Or -> Coffre -> Escalier -> Inscription -> Rat -> Piege_a_Pics -> Coffre -> Or -> Gobelin -> Couloir -> Fontaine_Sacree -> Fosse -> Escalier -> Or -> Gemmes -> Coffre -> Orc -> Gemmes -> Orc -> Inscription -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Inscription -> Minotaure -> Coffre -> Gobelin -> Salle_Vide -> Coffre -> Gemmes -> Orc -> Escalier -> Zombie -> Zombie -> Inscription -> Grande_Potion -> Salle_Vide -> Zombie -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Gobelin -> Liche -> Couloir -> Couloir -> Grande_Potion -> Rat -> Gemmes -> Salle_Vide -> Escalier -> Salle_Vide -> Liche -> Gemmes -> Fontaine_Sacree -> Gaz_Toxique -> Fosse -> Inscription -> Dragon -> Gobelin -> Or -> Gaz_Toxique -> Couloir -> Minotaure -> Zombie -> Troll -> Gobelin -> Escalier -> Gobelin -> Fosse -> Sortie,0,synthetic
Entree -> Escalier -> Escalier -> Escalier -> Fosse -> Salle_Vide -> Orc -> Gemmes -> Potion -> Escalier -> Gaz_Toxique -> Minotaure -> Zombie -> Zombie -> Hydre -> Coffre -> Escalier -> Piege_a_Pics -> Zombie -> Fosse -> Orc -> Escalier -> Or -> Hydre -> Inscription -> Gobelin -> Gemmes -> Gobelin -> Coffre -> Fosse -> Gobelin -> Troll -> Grande_Potion -> Minotaure -> Rat -> Salle_Vide -> Repas -> Or -> Coffre -> Zombie -> Couloir -> Grande_Potion -> Orc -> Couloir -> Demon -> Zombie -> Or -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Gobelin -> Liche -> Piege_a_Pics -> Salle_Vide -> Troll -> Inscription -> Orc -> Rat -> Escalier -> Gobelin -> Orc -> Fosse -> Rat -> Gobelin -> Repas -> Inscription -> Gaz_Toxique -> Orc -> Or -> Inscription -> Or -> Hydre -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Epee_Legendaire -> Inscription -> Zombie -> Gobelin -> Gemmes -> Coffre -> Or -> Salle_Vide -> Or -> Grande_Potion -> Or -> Piege_a_Pics -> Escalier -> Gaz_Toxique -> Potion -> Zombie -> Escalier -> Rat -> Rat -> Escalier -> Zombie -> Or -> Gemmes -> Coffre -> Gaz_Toxique -> Gemmes -> Couloir -> Repas -> Rat -> Dragon -> Sortie,1,synthetic
Entree -> Liche -> Inscription -> Coffre -> Or -> Gemmes -> Inscription -> Orc -> Or -> Orc -> Salle_Vide -> Inscription -> Couloir -> Dragon -> Salle_Vide -> Dragon -> Inscription -> Couloir -> Escalier -> Salle_Vide -> Minotaure -> Demon -> Zombie -> Fosse -> Rat -> Salle_Vide -> Gemmes -> Dragon -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Salle_Vide -> Or -> Piege_a_Pics -> Coffre -> Inscription -> Liche -> Piege_a_Pics -> Couloir -> Coffre -> Orc -> Salle_Vide -> Or -> Couloir -> Fontaine_Sacree -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Inscription -> Hydre -> Liche -> Gemmes -> Gobelin -> Couloir -> Gemmes -> Coffre -> Rat -> Couloir -> Escalier -> Salle_Vide -> Coffre -> Coffre -> Couloir -> Gemmes -> Rat -> Fosse -> Fontaine_Sacree -> Fosse -> Dragon -> Gobelin -> Escalier -> Zombie -> Piege_a_Pics -> Rat -> Dragon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Fontaine_Sacree -> Rat -> Or -> Coffre -> Inscription -> Gemmes -> Zombie -> Minotaure -> Fontaine_Sacree -> Coffre -> Gemmes -> Demon -> Gemmes -> Gaz_Toxique -> Piege_a_Pics -> Or -> Couloir -> Inscription -> Inscription -> Escalier -> Salle_Vide -> Gemmes -> Inscription -> Salle_Vide -> Inscription -> Gobelin -> Coffre -> Salle_Vide -> Rat -> Coffre -> Gaz_Toxique -> Sortie,0,synthetic
Entree -> Fosse -> Gemmes -> Coffre -> Escalier -> Orc -> Zombie -> Troll -> Inscription -> Escalier -> Fosse -> Couloir -> Couloir -> Gaz_Toxique -> Orc -> Repas -> Inscription -> Piege_a_Pics -> Salle_Vide -> Escalier -> Couloir -> Zombie -> Minotaure -> Gobelin -> Liche -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Couloir -> Demon -> Zombie -> Gemmes -> Repas -> Escalier -> Or -> Zombie -> Gobelin -> Inscription -> Or -> Inscription -> Minotaure -> Gemmes -> Coffre -> Salle_Vide -> Coffre -> Gaz_Toxique -> Salle_Vide -> Dragon -> Rat -> Gemmes -> Orc -> Orc -> Orc -> Gobelin -> Salle_Vide -> Inscription -> Coffre -> Orc -> Gemmes -> Escalier -> Escalier -> Couloir -> Inscription -> Or -> Gemmes -> Troll -> Gemmes -> Rat -> Gaz_Toxique -> Minotaure -> Escalier -> Inscription -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Orc -> Couloir -> Hydre -> Gemmes -> Couloir -> Gaz_Toxique -> Couloir -> Gaz_Toxique -> Orc -> Rat -> Fosse -> Minotaure -> Fosse -> Gobelin -> Coffre -> Rat -> Salle_Vide -> Salle_Vide -> Gemmes -> Couloir -> Escalier -> Gaz_Toxique -> Or -> Fosse -> Gobelin -> Gemmes -> Demon -> Fontaine_Sacree -> Gemmes -> Gaz_Toxique -> Gemmes -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Gemmes -> Orc -> Troll -> Gobelin -> Repas -> Inscription -> Couloir -> Inscription -> Dragon -> Couloir -> Gemmes -> Liche -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Epee_Legendaire -> Or -> Piege_a_Pics -> Or -> Fontaine_Sacree -> Or -> Fontaine_Sacree -> Couloir -> Or -> Hydre -> Fosse -> Salle_Vide -> Coffre -> Troll -> Repas -> Couloir -> Coffre -> Troll -> Zombie -> Salle_Vide -> Couloir -> Rat -> Rat -> Hydre -> Salle_Vide -> Gemmes -> Zombie -> Potion -> Salle_Vide -> Orc -> Gaz_Toxique -> Piege_a_Pics -> Couloir -> Inscription -> Couloir -> Escalier -> Gobelin -> Gobelin -> Zombie -> Grande_Potion -> Potion -> Minotaure -> Troll -> Coffre -> Dragon -> Rat -> Escalier -> Gemmes -> Inscription -> Minotaure -> Sortie,0,synthetic
Entree -> Couloir -> Coffre -> Zombie -> Rat -> Rat -> Gemmes -> Zombie -> Fontaine_Sacree -> Inscription -> Zombie -> Liche -> Coffre -> Inscription -> Liche -> Demon -> Salle_Vide -> Couloir -> Grande_Potion -> Gobelin -> Escalier -> Gaz_Toxique -> Grande_Potion -> Couloir -> Or -> Inscription -> Or -> Or -> Rat -> Escalier -> Inscription -> Rat -> Orc -> Escalier -> Fosse -> Rat -> Inscription -> Sortie,0,synthetic
Entree -> Coffre -> Salle_Vide -> Escalier -> Gaz_Toxique -> Zombie -> Gemmes -> Orc -> Or -> Couloir -> Salle_Vide -> Rat -> Couloir -> Coffre -> Rat -> Liche -> Zombie -> Piege_a_Pics -> Or -> Couloir -> Zombie -> Grande_Potion -> Rat -> Dragon -> Demon -> Inscription -> Gemmes -> Gaz_Toxique -> Piege_a_Pics -> Potion -> Repas -> Liche -> Escalier -> Rat -> Salle_Vide -> Inscription -> Liche -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Epee_Legendaire -> Gemmes -> Or -> Couloir -> Troll -> Demon -> Zombie -> Gobelin -> Salle_Vide -> Gemmes -> Gaz_Toxique -> Rat -> Inscription -> Gobelin -> Zombie -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Escalier -> Piege_a_Pics -> Coffre -> Escalier -> Salle_Vide -> Rat -> Grande_Potion -> Escalier -> Gobelin -> Minotaure -> Fosse -> Inscription -> Demon -> Sortie,0,synthetic
Entree -> Coffre -> Zombie -> Or -> Inscription -> Repas -> Gaz_Toxique -> Gaz_Toxique -> Rat -> Orc -> Escalier -> Gobelin -> Or -> Inscription -> Salle_Vide -> Coffre -> Salle_Vide -> Troll -> Fosse -> Or -> Orc -> Couloir -> Coffre -> Orc -> Potion -> Couloir -> Coffre -> Gobelin -> Fontaine_Sacree -> Couloir -> Escalier -> Inscription -> Grande_Potion -> Gemmes -> Hydre -> Or -> Salle_Vide -> Dragon -> Coffre -> Or -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Orc -> Zombie -> Inscription -> Orc -> Rat -> Coffre -> Inscription -> Rat -> Zombie -> Piege_a_Pics -> Salle_Vide -> Gobelin -> Fontaine_Sacree -> Dragon -> Or -> Inscription -> Repas -> Dragon -> Dragon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Escalier -> Salle_Vide -> Coffre -> Escalier -> Piege_a_Pics -> Couloir -> Piege_a_Pics -> Coffre -> Piege_a_Pics -> Dragon -> Couloir -> Gemmes -> Dragon -> Salle_Vide -> Orc -> Gemmes -> Inscription -> Grande_Potion -> Escalier -> Couloir -> Or -> Piege_a_Pics -> Repas -> Coffre -> Gobelin -> Or -> Fosse -> Inscription -> Or -> Dragon -> Demon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Escalier -> Or -> Zombie -> Rat -> Piege_a_Pics -> Rat -> Escalier -> Gaz_Toxique -> Escalier -> Couloir -> Orc -> Salle_Vide -> Minotaure -> Liche -> Sortie,0,synthetic
